system;class;Bridge;Composite;ChainOfResponsibility;TemplateMethod;FactoryMethod;Prototype;cbo;wmc;dit;rfc;nom;loc;GC;RPB;FE;LM
jasperreports;net.sf.jasperreports.engine.fill.JRTemplateImage;0;0;1;1;0;0;27;117;3;103;108;570;1;1;0;0
jasperreports;net.sf.jasperreports.engine.fill.JRTemplateLine;0;0;1;1;0;0;7;9;3;8;8;55;0;0;0;0
jasperreports;net.sf.jasperreports.engine.fill.JRTemplateRectangle;0;0;1;1;0;0;12;9;3;13;9;59;0;0;0;0
jasperreports;net.sf.jasperreports.engine.fill.JRTemplateText;0;0;1;1;0;0;31;180;2;134;161;815;1;1;1;0
jasperreports;net.sf.jasperreports.crosstabs.fill.JRFillCrosstabCell;0;0;1;0;0;0;5;8;1;7;8;43;0;1;0;0
jasperreports;net.sf.jasperreports.crosstabs.design.JRDesignCrosstab;0;0;1;1;1;0;48;224;3;146;97;1165;1;1;1;1
jasperreports;net.sf.jasperreports.crosstabs.fill.JRFillCrosstabColumnGroup;0;0;1;0;0;0;5;4;2;4;4;23;0;1;0;0
jasperreports;net.sf.jasperreports.crosstabs.fill.JRFillCrosstabRowGroup;0;0;1;0;0;0;5;4;2;4;4;23;0;1;0;0
jasperreports;net.sf.jasperreports.crosstabs.fill.JRFillCrosstabMeasure;0;0;1;0;0;0;15;22;1;26;20;120;0;1;0;0
jasperreports;net.sf.jasperreports.crosstabs.fill.JRFillCrosstabParameter;0;0;1;0;0;0;5;2;2;1;2;18;0;1;0;0
jasperreports;net.sf.jasperreports.engine.fill.JRFillBand;0;0;1;1;1;0;23;69;3;68;39;327;1;1;1;0
jasperreports;net.sf.jasperreports.charts.fill.JRFillAreaPlot;0;0;1;0;1;0;10;35;2;28;35;165;0;1;0;0
jasperreports;net.sf.jasperreports.charts.fill.JRFillBar3DPlot;0;0;1;0;1;0;11;49;2;35;49;201;1;1;0;0
jasperreports;net.sf.jasperreports.charts.fill.JRFillBarPlot;0;0;1;0;1;0;11;49;2;35;49;213;1;1;0;0
jasperreports;net.sf.jasperreports.charts.fill.JRFillBubblePlot;0;0;1;0;1;0;12;35;2;31;33;164;0;1;0;0
jasperreports;net.sf.jasperreports.charts.fill.JRFillCandlestickPlot;0;0;1;0;1;0;10;35;2;28;35;169;0;1;0;0
jasperreports;net.sf.jasperreports.charts.fill.JRFillHighLowPlot;0;0;1;0;1;0;10;37;2;30;37;177;0;1;0;0
jasperreports;net.sf.jasperreports.charts.fill.JRFillLinePlot;0;0;1;0;1;0;10;43;2;32;43;185;0;1;0;0
jasperreports;net.sf.jasperreports.charts.fill.JRFillMeterPlot;0;0;1;0;1;0;8;18;2;16;16;76;0;1;0;0
jasperreports;net.sf.jasperreports.charts.fill.JRFillMultiAxisPlot;0;0;1;0;1;0;7;4;2;10;3;33;0;0;0;0
jasperreports;net.sf.jasperreports.charts.fill.JRFillPie3DPlot;0;0;1;0;1;0;4;8;2;7;8;43;0;0;0;0
jasperreports;net.sf.jasperreports.charts.fill.JRFillPiePlot;0;0;1;0;1;0;4;6;2;5;6;35;0;0;0;0
jasperreports;net.sf.jasperreports.charts.fill.JRFillScatterPlot;0;0;1;0;1;0;10;35;2;31;35;158;0;1;0;0
jasperreports;net.sf.jasperreports.charts.fill.JRFillThermometerPlot;0;0;1;0;1;0;7;13;2;11;11;55;0;0;0;0
jasperreports;net.sf.jasperreports.charts.fill.JRFillTimeSeriesPlot;0;0;1;0;1;0;10;40;2;30;40;173;0;1;0;0
jasperreports;net.sf.jasperreports.engine.fill.JRFillChartPlot;0;0;1;0;0;0;9;26;1;13;26;114;0;1;0;0
jasperreports;net.sf.jasperreports.engine.util.JRStyleResolver;0;0;1;0;0;0;33;328;1;201;98;1491;1;0;1;0
jasperreports;net.sf.jasperreports.engine.base.JRBaseConditionalStyle;0;0;1;0;1;0;9;4;2;29;4;54;0;0;0;0
jasperreports;net.sf.jasperreports.engine.design.JRDesignConditionalStyle;0;0;1;0;1;0;4;3;3;2;3;26;0;0;0;0
jasperreports;net.sf.jasperreports.ant.UpdaterElement;0;0;1;0;0;0;4;6;1;3;2;34;0;0;0;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseAreaPlot;0;0;1;0;1;0;15;40;2;34;32;222;0;1;1;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseBar3DPlot;0;0;1;0;1;0;17;59;2;47;46;303;1;1;0;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseBarPlot;0;0;1;0;1;0;17;59;2;44;46;310;1;1;0;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseBubblePlot;0;0;1;0;1;0;16;49;2;41;37;253;1;1;1;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseCandlestickPlot;0;0;1;0;1;0;15;45;2;37;35;244;0;1;1;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseCategoryDataset;0;0;1;1;1;0;9;12;3;6;7;59;0;0;0;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseCategorySeries;0;0;1;0;1;0;8;14;1;10;8;82;0;0;0;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseChartAxis;0;0;1;0;1;0;7;13;1;11;8;73;0;1;1;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseDataRange;0;0;1;0;0;0;8;10;1;7;6;61;0;0;1;0
